player_0_name,player_1_name,player_0_team,player_1_team,player_0_selected,player_1_selected,player_0_first,player_1_first,winner_name
赤司 征十郎,スカーレット,"['バドレックス(こくば)', 'テツノワダチ', 'フワライド', 'ハバタクカミ', 'ブリムオン', 'ドーブル']","['キラフロル', 'ディンルー', 'パオジアン', 'ヘイラッシャ', 'ハバタクカミ', 'ミライドン']","['ブリムオン', 'テツノワダチ', 'ドーブル']","['ミライドン', 'ディンルー']",テツノワダチ,ミライドン,スカーレット
すいぜい,NONO,"['コライドン', 'イーユイ', 'ヘイラッシャ', 'ハバタクカミ', 'ガチグマ', 'テツノカイナ']","['ラティアス', 'ウーラオス(いちげき)', 'ハッサム', 'ミミッキュ', 'マシマシラ', 'テラパゴス(テラスタル)']","['ガチグマ', 'テツノカイナ', 'ヘイラッシャ']","['テラパゴス(テラスタル)', 'ラティアス', 'マシマシラ']",ガチグマ,ラティアス,すいぜい
Kurumi Wendy,ピロスケ,"['オオニューラ', 'ガチグマ(アカツキ)', 'バドレックス(はくば)', 'カイリュー', 'ブリジュラス', 'オーロンゲ']","['コライドン', 'イーユイ', 'ヘイラッシャ', 'エーフィ', 'ドオー', 'ハバタクカミ']","['ガチグマ(アカツキ)', 'オオニューラ', 'ブリジュラス']","['イーユイ', 'コライドン']",オオニューラ,コライドン,ピロスケ
ショウガ,SV,"['ディンルー', 'パオジアン', 'ムゲンダイナ', 'イッカネズミ', 'ハバタクカミ', 'ポットデス']","['バドレックス(はくば)', 'ウーラオス(れんげき)', 'ミミッキュ', 'ブリジュラス', 'ハバタクカミ', 'ガチグマ']","['ハバタクカミ', 'パオジアン']","['ミミッキュ', 'ウーラオス(れんげき)', 'ブリジュラス']",パオジアン,ウーラオス(れんげき),ショウガ
AKVきのこ,ヴァイオ,"['ディンルー', 'カビゴン', 'オーガポン(かまど)', 'バドレックス(こくば)', 'ウーラオス(れんげき)', 'カイリュー']","['ディンルー', 'パオジアン', 'カイオーガ', 'ウーラオス(れんげき)', 'カイリュー', 'ハバタクカミ']","['オーガポン(かまど)', 'バドレックス(こくば)', 'ウーラオス(れんげき)']","['ハバタクカミ', 'パオジアン', 'ウーラオス(れんげき)']",ウーラオス(れんげき),ハバタクカミ,AKVきのこ
maru,あらたま,"['ガブリアス', 'カイリュー', 'ハッサム', 'ガラルマタドガス', 'テラパゴス(テラスタル)', 'ラウドボーン']","['ディンルー', 'ピクシー', 'パオジアン', 'ルギア', 'ヘイラッシャ', 'ハピナス']","['ハッサム', 'テラパゴス(テラスタル)', 'ガラルマタドガス']","['ディンルー', 'ヘイラッシャ']",ハッサム,ディンルー,あらたま
Sui,まりるり,"['パオジアン', 'バドレックス(こくば)', 'ラグラージ', 'ウーラオス(れんげき)', 'カイリュー', 'ミミッキュ']","['ディンルー', 'パオジアン', 'バドレックス(こくば)', 'ウーラオス(れんげき)', 'カイリュー', 'ブリジュラス']","['カイリュー', 'パオジアン', 'ミミッキュ']","['ディンルー', 'ウーラオス(れんげき)', 'ブリジュラス']",パオジアン,ウーラオス(れんげき),まりるり
かに,德・健・财,"['グライオン', 'アローラベトベトン', 'ムゲンダイナ', 'ラッキー', 'ヘイラッシャ', 'ガチグマ']","['キラフロル', 'カイリュー', 'ママンボウ', 'ミミッキュ', 'テラパゴス(テラスタル)', 'ガチグマ']","['グライオン', 'ガチグマ', 'ラッキー']","['キラフロル', 'ミミッキュ']",グライオン,ミミッキュ,德・健・财
スカーレット,わたあめ,"['パオジアン', 'テツノワダチ', 'カイリュー', 'ハッサム', 'ミミッキュ', 'ミライドン']","['バドレックス(はくば)', 'ウーラオス(れんげき)', 'エルフーン', 'ドオー', 'イーユイ', 'ガチグマ']","['カイリュー', 'ハッサム', 'テツノワダチ']","['イーユイ', 'ウーラオス(れんげき)']",ハッサム,イーユイ,わたあめ
ゆんた。,アイギス,"['ゴリランダー', 'ディンルー', 'オーガポン(かまど)', 'バドレックス(こくば)', 'パオジアン', 'ランドロス(れいじゅう)']","['ザマゼンタ(たてのおう)', 'ディンルー', 'カイリュー', 'キョジオーン', 'ハバタクカミ', 'ガチグマ']","['ゴリランダー', 'ランドロス(れいじゅう)', 'バドレックス(こくば)']","['ハバタクカミ', 'ディンルー', 'キョジオーン']",ランドロス(れいじゅう),ハバタクカミ,アイギス
