rank,name,rating,pokemon1_name,pokemon1_item,pokemon1_nature,pokemon1_ability,pokemon1_Ttype,pokemon1_moves,pokemon1_effort,pokemon2_name,pokemon2_item,pokemon2_nature,pokemon2_ability,pokemon2_Ttype,pokemon2_moves,pokemon2_effort,pokemon3_name,pokemon3_item,pokemon3_nature,pokemon3_ability,pokemon3_Ttype,pokemon3_moves,pokemon3_effort,pokemon4_name,pokemon4_item,pokemon4_nature,pokemon4_ability,pokemon4_Ttype,pokemon4_moves,pokemon4_effort,pokemon5_name,pokemon5_item,pokemon5_nature,pokemon5_ability,pokemon5_Ttype,pokemon5_moves,pokemon5_effort,pokemon6_name,pokemon6_item,pokemon6_nature,pokemon6_ability,pokemon6_Ttype,pokemon6_moves,pokemon6_effort
1,アスノヨゾラ,2174,ホウオウ,ゴツゴツメット,わんぱく,さいせいりょく,フェアリー,"せいなるほのお, おにび, ひかりのかべ, じこさいせい","252, 0, 236, 0, 0, 20",ラッキー,しんかのきせき,なまいき,しぜんかいふく,はがね,"ちきゅうなげ, めいそう, ステルスロック, タマゴうみ","12, 0, 252, 0, 244, 0",ヘイラッシャ,たべのこし,わんぱく,てんねん,ほのお,"じわれ, ウェーブタックル, まもる, ねむる","252, 0, 244, 0, 0, 12",グライオン,どくどくだま,ようき,ポイズンヒール,フェアリー,"じしん, どくどく, みがわり, まもる","228, 4, 68, 0, 4, 204",アーマーガア,おんみつマント,わんぱく,プレッシャー,ゴースト,"アイアンヘッド, ちょうはつ, きりばらい, はねやすめ","252, 0, 0, 252, 0, 4",アローラベトベトン,くろいヘドロ,しんちょう,どくしゅ,どく,"どくづき, はたきおとす, かげうち, まもる","252, 0, 4, 0, 252, 0"
5,ビッパ,2136,ミライドン,とつげきチョッキ,ひかえめ,ハドロンエンジン,こおり,"イナズマドライブ, りゅうせいぐん, テラバースト, ボルトチェンジ","236, 0, 4, 252, 12, 4",ハッサム,オボンのみ,いじっぱり,テラスタル,ノーマル,"バレットパンチ, ダブルウイング, インファイト, つるぎのまい","252, 76, 68, 0, 108, 4",パオジアン,きあいのタスキ,いじっぱり,わざわいのつるぎ,ほのお,"つららおとし, せいなるつるぎ, テラバースト, ふいうち","0, 252, 4, 0, 0, 252",テツノワダチ,こだわりハチマキ,いじっぱり,クォークチャージ,じめん,"じしん, アイアンヘッド, アイススピナー, ワイルドボルト","12, 148, 4, 0, 124, 220",テツノカイナ,たべのこし,いじっぱり,クォークチャージ,ほのお,"ドレインパンチ, サンダーダイブ, れいとうパンチ, つるぎのまい","108, 116, 252, 0, 4, 28",ウーラオス(れんげき),パンチグローブ,いじっぱり,ふかしのこぶし,ノーマル,"すいりゅうれんだ, ドレインパンチ, アクアジェット, つるぎのまい","204, 196, 100, 0, 4, 4"
7,スカーレット_1,2128,ルナアーラ,こだわりスカーフ,ひかえめ,ファントムガード,フェアリー,"シャドーレイ, ムーンフォース, トリック, つきのひかり","0, 0, 12, 244, 0, 252",カイリュー,こだわりハチマキ,いじっぱり,マルチスケイル,ノーマル,"しんそく, げきりん, けたぐり, じしん","116, 252, 140, 0, 0, 0",パオジアン,きあいのタスキ,ようき,わざわいのつるぎ,はがね,"つららおとし, ふいうち, ちょうはつ, つるぎのまい","252, 0, 4, 0, 0, 252",ディンルー,とつげきチョッキ,いじっぱり,わざわいのうつわ,はがね,"じしん, カタストロフィ, ヘビーボンバー, じわれ","4, 236, 4, 0, 188, 76",キョジオーン,たべのこし,わんぱく,きよめのしお,みず,"しおづけ, まもる, みがわり, じこさいせい","252, 0, 156, 0, 52, 44",オーガポン(かまど),かまどのかんむり,いじっぱり,おもかげやどし,ほのお,"ツタこんぼう, ウッドホーン, いわなだれ, でんこうせっか","236, 204, 4, 0, 4, 60"
10,ヘルメッポ,2121,ディンルー,オボンのみ,わんぱく,わざわいのうつわ,みず,"じしん, まきびし, ステルスロック, ふきとばし","244, 0, 36, 0, 220, 4",カイリュー,たべのこし,わんぱく,マルチスケイル,ノーマル,"ドラゴンテール, しんそく, みがわり, はねやすめ","228, 0, 180, 0, 4, 92",ザシアン(けんのおう),くちたけん,ようき,ふとうのけん,ノーマル,"きょじゅうざん, じゃれつく, くさわけ, つるぎのまい","172, 156, 4, 0, 12, 164",ガチグマ(アカツキ),シルクのスカーフ,ひかえめ,しんがん,ノーマル,"ブラッドムーン, ハイパーボイス, しんくうは, つきのひかり","252, 0, 84, 172, 0, 0",サーフゴー,こだわりメガネ,ひかえめ,おうごんのからだ,ステラ,"ゴールドラッシュ, シャドーボール, 10まんボルト, トリック","212, 0, 4, 60, 4, 228",ヘイラッシャ,ゴツゴツメット,わんぱく,てんねん,フェアリー,"じわれ, あくび, まもる, ねむる","252, 0, 252, 0, 4, 0"
19,キャル,2088,バドレックス(こくば),きあいのタスキ,おくびょう,じんばいったい,フェアリー,"アストラルビット, サイコショック, リーフストーム, わるだくみ","0, 252, 4, 0, 0, 252",カイリュー,シルクのスカーフ,いじっぱり,マルチスケイル,ノーマル,"しんそく, げきりん, けたぐり, じしん","228, 252, 28, 0, 0, 0",オーガポン(かまど),かまどのおめん,いじっぱり,おもかげやどし,ほのお,"ツタこんぼう, ウッドホーン, でんこうせっか, つるぎのまい","172, 252, 0, 0, 84, 0",ディンルー,オボンのみ,わんぱく,わざわいのうつわ,ほのお,"じしん, カタストロフィ, ふきとばし, ステルスロック","244, 0, 36, 0, 220, 4",ハバタクカミ,ブーストエナジー,おくびょう,こだいかっせい,はがね,"ムーンフォース, あまえる, めいそう, いたみわけ","84, 0, 252, 132, 20, 20",ウーラオス(れんげき),とつげきチョッキ,いじっぱり,ふかしのこぶし,フェアリー,"すいりゅうれんだ, インファイト, テラバースト, アクアジェット","188, 252, 20, 0, 4, 44"
23,俺出現神呆然,2071,コライドン,とつげきチョッキ,いじっぱり,ひひいろのこどう,ほのお,"フレアドライブ, ニトロチャージ, ドレインパンチ, とんぼがえり","172, 196, 20, 0, 12, 108",ハバタクカミ,こだわりメガネ,おくびょう,こだいかっせい,フェアリー,"ムーンフォース, シャドーボール, パワージェム, ほろびのうた","4, 0, 124, 124, 4, 252",ヘイラッシャ,ゴツゴツメット,わんぱく,てんねん,フェアリー,"じわれ, ゆきなだれ, あくび, ねむる","236, 4, 196, 0, 60, 12",ガチグマ(アカツキ),きあいのタスキ,ひかえめ,しんがん,ノーマル,"ブラッドムーン, だいちのちから, しんくうは, あくび","4, 0, 0, 252, 0, 252",イーユイ,ふうせん,ひかえめ,わざわいのたま,ゴースト,"かえんほうしゃ, あくのはどう, わるだくみ, ちょうはつ","4, 0, 0, 252, 0, 252",ハッサム,おんみつマント,いじっぱり,テクニシャン,あく,"バレットパンチ, はたきおとす, インファイト, つるぎのまい","252, 156, 92, 0, 4, 4"
27,AIKU,2066,メタモン,こだわりスカーフ,おくびょう,かわりもの,フェアリー,へんしん,"252, 0, 0, 0, 0, 0",ランドロス(れいじゅう),ゴツゴツメット,わんぱく,いかく,みず,"とんぼがえり, ステルスロック, じしん, ちょうはつ","252, 0, 252, 0, 4, 0",キョジオーン,たべのこし,しんちょう,きよめのしお,くさ,"しおづけ, まもる, じこさいせい, みがわり","252, 0, 0, 0, 244, 12",ハバタクカミ,きあいのタスキ,おくびょう,こだいかっせい,フェアリー,"ムーンフォース, シャドーボール, ちょうはつ, いたみわけ","4, 0, 0, 252, 0, 252",ハッサム,オボンのみ,いじっぱり,テクニシャン,ノーマル,"バレットパンチ, はたきおとす, ダブルウイング, つるぎのまい","252, 76, 172, 0, 4, 4",コライドン,いかさまダイス,ようき,ひひいろのこどう,はがね,"スケイルショット, アイアンヘッド, アクセルブレイク, ちょうはつ","0, 252, 4, 0, 0, 252"
